S. No.,Dish Name,Appliances Used,Utensils Used
1,Paneer Tikka,"Induction Cooktop, Mixer Grinder","Bowl, Skewer, Plate"
2,Green Chutney,Mixer Grinder,"Bowl, Spoon"
3,Aloo Paratha,"Tawa, Induction Cooktop","Rolling Pin, Board, Spatula, Plate"
4,Chole,"Pressure Cooker, Induction Cooktop","Pressure Cooker, Spoon, Bowl"
5,Rice,Induction Cooktop,"Pot, Spoon"
6,Bhature,"Kadhai, Induction Cooktop","Bowl, Rolling Pin, Board, Kadhai, Slotted Spoon"
7,Pakori,"Kadhai, Induction Cooktop","Bowl, Slotted Spoon, Kadhai"
8,Rajma,"Pressure Cooker, Induction Cooktop","Pressure Cooker, Spoon, Bowl"
9,Bhindi,"Induction Cooktop, Kadhai","Pan, Spoon, Plate"
10,Poha,Induction Cooktop,"Pan, Spoon"
11,Daal,"Pressure Cooker, Induction Cooktop","Pressure Cooker, Ladle, Bowl"
12,Patole (Local),"Induction Cooktop, Kadhai","Bowl, Brush, Knife, Kadhai, Slotted Spoon"
13,Karele ka Bharwa,"Induction Cooktop, Kadhai","Knife, Spoon, Kadhai"
14,Omelette,Induction Cooktop,"Bowl, Whisk, Pan, Spatula"
15,Sooji Halwa,"Induction Cooktop, Kadhai","Pan, Spoon, Bowl"
16,Vermicilli,Induction Cooktop,"Pan, Spoon, Bowl"
17,Tea,Induction Cooktop,"Pan, Strainer, Cup"
18,Coffee,Induction Cooktop,"Pan, Strainer, Cup"
19,Raw Mango Launji,"Induction Cooktop, Kadhai","Pan, Spoon, Bowl"
20,Raw Mango Chutney,"Induction Cooktop, Mixer Grinder","Mixer Grinder, Spoon, Bowl"
21,Rotis And Parathas,"Tawa, Induction Cooktop","Rolling Pin, Board, Tawa, Spatula"
